"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"10","2","Central New York","29-1171","Nurse Practitioners","960","$133,794","$130,482","$104,094","$148,644"
"10","2","Central New York","29-1181","Audiologists",,"$91,285","$82,984","$74,139","$99,858"
"10","2","Central New York","29-1212","Cardiologists","50","$463,150",,"$274,781",
"10","2","Central New York","29-1214","Emergency Medicine Physicians","110","$255,707","$209,002","$133,523","$316,799"
"10","2","Central New York","29-1215","Family Medicine Physicians","100","$234,860","$226,995","$136,749","$283,915"
"10","2","Central New York","29-1216","General Internal Medicine Physicians","280","$287,676",,"$135,830","$363,599"
"10","2","Central New York","29-1218","Obstetricians and Gynecologists","90","$289,764",,"$216,898",
"10","2","Central New York","29-1222","Physicians, Pathologists",,"$347,243",,"$213,141",
"10","2","Central New York","29-1223","Psychiatrists",,"$242,031","$232,717","$115,194","$305,449"
"10","2","Central New York","29-1224","Radiologists",,"$359,796",,"$115,823","$481,782"
"10","2","Central New York","29-1229","Physicians, All Other","430","$293,375",,"$202,038",
"10","2","Central New York","29-1242","Orthopedic Surgeons, Except Pediatric",,"$360,406",,"$219,584",
"10","2","Central New York","29-1292","Dental Hygienists","540","$86,257","$86,648","$71,255","$93,759"
"10","2","Central New York","29-1299","Healthcare Diagnosing or Treating Practitioners, All Other","60","$96,717","$89,307","$65,501","$112,325"
"10","2","Central New York","29-2010","Clinical Laboratory Technologists and Technicians","500","$79,204","$80,012","$51,274","$93,169"
"10","2","Central New York","29-2031","Cardiovascular Technologists and Technicians","120","$89,080","$96,357","$57,988","$104,626"
"10","2","Central New York","29-2032","Diagnostic Medical Sonographers","220","$94,321","$93,170","$75,960","$103,500"
"10","2","Central New York","29-2033","Nuclear Medicine Technologists",,"$104,118","$99,470","$87,904","$112,225"
"10","2","Central New York","29-2034","Radiologic Technologists","750","$86,051","$85,968","$66,644","$95,753"
"10","2","Central New York","29-2035","Magnetic Resonance Imaging Technologists","100","$90,757","$95,861","$71,466","$100,404"
"10","2","Central New York","29-2036","Medical Dosimetrists",,"$144,730","$132,978","$119,302","$157,445"
"10","2","Central New York","29-2042","Emergency Medical Technicians","540","$44,268","$41,898","$38,254","$47,275"
"10","2","Central New York","29-2043","Paramedics","310","$63,925","$63,279","$54,421","$68,677"
"10","2","Central New York","29-2051","Dietetic Technicians",,"$47,982","$50,284","$38,703","$52,620"
"10","2","Central New York","29-2052","Pharmacy Technicians","990","$43,389","$39,518","$35,598","$47,284"
"10","2","Central New York","29-2053","Psychiatric Technicians","100","$51,129","$52,372","$44,469","$54,459"
"10","2","Central New York","29-2055","Surgical Technologists","280","$65,457","$65,255","$49,448","$73,461"
"10","2","Central New York","29-2056","Veterinary Technologists and Technicians","240","$53,027","$50,230","$45,690","$56,695"
"10","2","Central New York","29-2057","Ophthalmic Medical Technicians","230","$43,256","$40,208","$36,971","$46,399"
"10","2","Central New York","29-2061","Licensed Practical and Licensed Vocational Nurses","2,220","$59,823","$59,722","$49,955","$64,756"
"10","2","Central New York","29-2072","Medical Records Specialists","410","$55,579","$51,768","$43,175","$61,781"
"10","2","Central New York","29-2081","Opticians, Dispensing","180","$66,107","$63,442","$50,676","$73,822"
"10","2","Central New York","29-2091","Orthotists and Prosthetists",,"$76,762","$79,716","$49,492","$90,398"
"10","2","Central New York","29-2099","Health Technologists and Technicians, All Other","330","$58,221","$47,511","$39,571","$67,546"
"10","2","Central New York","29-9021","Health Information Technologists and Medical Registrars","50","$71,068","$60,517","$44,331","$84,438"
"10","2","Central New York","29-9091","Athletic Trainers","80","$63,204","$62,514","$53,479","$68,067"
"10","2","Central New York","29-9099","Healthcare Practitioners and Technical Workers, All Other","90","$71,936","$64,824","$43,780","$86,014"
"10","2","Central New York","31-0000","Healthcare Support Occupations","15,830","$42,108","$39,213","$35,283","$45,520"
"10","2","Central New York","31-1120","Home Health & Personal Care Aides","8,750","$39,525","$37,620","$34,396","$42,089"
"10","2","Central New York","31-1131","Nursing Assistants","3,080","$43,909","$42,592","$38,127","$46,800"
"10","2","Central New York","31-1132","Orderlies","250","$40,740","$38,248","$36,073","$43,074"
"10","2","Central New York","31-1133","Psychiatric Aides","160","$49,945","$50,240","$42,638","$53,598"
"10","2","Central New York","31-2011","Occupational Therapy Assistants","80","$64,212","$62,532","$49,793","$71,421"
"10","2","Central New York","31-2021","Physical Therapist Assistants","150","$61,655","$59,772","$51,304","$66,832"
"10","2","Central New York","31-2022","Physical Therapist Aides","50","$35,460","$32,240","$32,240","$37,147"
"10","2","Central New York","31-9011","Massage Therapists","110","$55,200","$42,655","$34,089","$65,756"
"10","2","Central New York","31-9091","Dental Assistants","840","$47,915","$48,145","$39,419","$52,162"
"10","2","Central New York","31-9092","Medical Assistants","1,180","$44,172","$42,733","$37,324","$47,597"
"10","2","Central New York","31-9093","Medical Equipment Preparers","270","$47,683","$48,205","$37,960","$52,546"
"10","2","Central New York","31-9094","Medical Transcriptionists","80","$43,464","$44,847","$34,745","$47,823"
"10","2","Central New York","31-9095","Pharmacy Aides","180","$37,675","$34,901","$32,240","$40,468"
"10","2","Central New York","31-9096","Veterinary Assistants and Laboratory Animal Caretakers","240","$41,115","$38,623","$36,056","$43,645"
"10","2","Central New York","31-9097","Phlebotomists","220","$45,803","$43,746","$36,610","$50,399"
"10","2","Central New York","31-9099","Healthcare Support Workers, All Other","180","$51,106","$50,508","$37,237","$58,041"
"10","2","Central New York","33-0000","Protective Service Occupations","8,710","$66,389","$63,830","$39,224","$79,973"
"10","2","Central New York","33-1011","First-Line Supervisors of Correctional Officers","160","$90,365","$83,095","$78,633","$96,230"
"10","2","Central New York","33-1012","First-Line Supervisors of Police and Detectives","420","$108,778","$104,832","$89,141","$118,597"
"10","2","Central New York","33-1021","First-Line Supervisors of Fire Fighting and Prevention Workers","170","$97,347","$95,061","$86,764","$102,639"
"10","2","Central New York","33-1091","First-Line Supervisors of Security Workers","60","$88,231","$74,549","$55,270","$104,712"
"10","2","Central New York","33-1099","First-Line Supervisors of Protective Service Workers, All Other","60","$85,652","$89,523","$59,462","$98,747"
"10","2","Central New York","33-2011","Firefighters","490","$73,851","$77,511","$55,933","$82,809"
"10","2","Central New York","33-2021","Fire Inspectors and Investigators",,"$72,267","$67,120","$55,989","$80,406"
"10","2","Central New York","33-3011","Bailiffs","100","$78,827","$80,451","$53,935","$91,273"
"10","2","Central New York","33-3012","Correctional Officers and Jailers","1,230","$70,954","$70,657","$60,534","$76,163"
"10","2","Central New York","33-3021","Detectives and Criminal Investigators","320","$98,168","$96,544","$65,163","$114,670"
"10","2","Central New York","33-3031","Fish and Game Wardens",,"$83,664","$79,041","$71,414","$89,789"
"10","2","Central New York","33-3041","Parking Enforcement Workers",,"$42,098","$41,127","$38,099","$44,098"
"10","2","Central New York","33-3051","Police and Sheriff's Patrol Officers","2,060","$76,404","$77,323","$58,986","$85,114"
"10","2","Central New York","33-9011","Animal Control Workers","70","$66,935","$50,427","$37,269","$81,767"
"10","2","Central New York","33-9021","Private Detectives and Investigators","60","$71,378","$71,082","$45,805","$84,166"
"10","2","Central New York","33-9032","Security Guards","1,910","$50,351","$43,260","$36,079","$57,487"
"10","2","Central New York","33-9091","Crossing Guards","170","$45,417","$40,194","$32,626","$51,811"
"10","2","Central New York","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service","480","$35,318","$34,528","$32,279","$36,838"
"10","2","Central New York","33-9094","School Bus Monitors","720","$38,139","$37,047","$32,688","$40,866"
"10","2","Central New York","33-9099","Protective Service Workers, All Other",,"$45,890","$37,603","$37,487","$50,091"
"10","2","Central New York","35-0000","Food Preparation and Serving Related Occupations","27,970","$42,056","$36,403","$32,533","$46,817"
"10","2","Central New York","35-1011","Chefs and Head Cooks","420","$66,564","$61,591","$46,389","$76,651"
"10","2","Central New York","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","2,550","$47,290","$43,350","$36,709","$52,582"
"10","2","Central New York","35-2011","Cooks, Fast Food","670","$35,120","$35,170","$32,240","$36,637"
"10","2","Central New York","35-2012","Cooks, Institution and Cafeteria","690","$42,778","$40,378","$35,583","$46,375"
"10","2","Central New York","35-2014","Cooks, Restaurant","1,900","$40,775","$38,920","$34,907","$43,709"
"10","2","Central New York","35-2015","Cooks, Short Order",,"$38,197","$36,364","$33,129","$40,732"
"10","2","Central New York","35-2019","Cooks, All Other",,"$45,032","$44,344","$34,684","$50,206"
"10","2","Central New York","35-2021","Food Preparation Workers","2,030","$36,409","$35,304","$32,240","$38,560"
"10","2","Central New York","35-3011","Bartenders","1,980","$55,011","$50,014","$33,652","$65,690"
"10","2","Central New York","35-3023","Fast Food and Counter Workers","8,340","$35,374","$34,830","$32,240","$36,976"
"10","2","Central New York","35-3031","Waiters and Waitresses","4,210","$53,827","$48,689","$33,338","$64,071"
"10","2","Central New York","35-3041","Food Servers, Nonrestaurant","480","$35,815","$34,740","$32,269","$37,588"
"10","2","Central New York","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","1,970","$38,013","$34,622","$32,240","$40,909"
"10","2","Central New York","35-9021","Dishwashers","1,180","$34,484","$33,917","$32,240","$35,682"
"10","2","Central New York","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","700","$38,805","$36,088","$32,294","$42,060"
"10","2","Central New York","37-0000","Building and Grounds Cleaning and Maintenance Occupations","11,310","$41,602","$38,262","$33,104","$45,852"
"10","2","Central New York","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","420","$53,248","$51,410","$39,589","$60,078"
"10","2","Central New York","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","300","$59,706","$57,434","$44,752","$67,182"
"10","2","Central New York","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","6,600","$40,039","$37,704","$32,737","$43,690"
"10","2","Central New York","37-2012","Maids and Housekeeping Cleaners","1,400","$38,659","$34,953","$32,240","$41,882"
"10","2","Central New York","37-2021","Pest Control Workers","100","$47,961","$46,405","$38,384","$52,749"
"10","2","Central New York","37-3011","Landscaping and Groundskeeping Workers","2,340","$42,679","$40,124","$35,177","$46,430"
"10","2","Central New York","37-3013","Tree Trimmers and Pruners","80","$54,858","$53,669","$43,145","$60,714"
"10","2","Central New York","37-3019","Grounds Maintenance Workers, All Other","60","$40,995","$34,996","$33,648","$44,669"
"10","2","Central New York","39-0000","Personal Care and Service Occupations","6,140","$39,965","$35,231","$32,240","$43,889"
"10","2","Central New York","39-1014","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","60","$52,922","$51,738","$40,080","$59,343"
"10","2","Central New York","39-1022","First-Line Supervisors of Personal Service Workers","270","$53,863","$50,028","$38,212","$61,689"
"10","2","Central New York","39-2011","Animal Trainers",,"$43,401","$37,210","$32,925","$48,639"
"10","2","Central New York","39-2021","Nonfarm Animal Caretakers","550","$37,853","$36,055","$32,679","$40,440"
"10","2","Central New York","39-3021","Motion Picture Projectionists",,"$51,012","$52,737","$33,190","$59,924"
"10","2","Central New York","39-3031","Ushers, Lobby Attendants, and Ticket Takers","420","$33,964","$32,634","$32,261","$34,815"
"10","2","Central New York","39-3091","Amusement and Recreation Attendants",,"$35,225","$32,606","$32,240","$36,794"
"10","2","Central New York","39-3093","Locker Room, Coatroom, and Dressing Room Attendants",,"$37,262","$38,150","$32,589","$39,599"
"10","2","Central New York","39-5012","Hairdressers, Hairstylists, and Cosmetologists","410","$45,587","$34,128","$32,240","$52,338"
"10","2","Central New York","39-5092","Manicurists and Pedicurists","450","$33,706","$32,240","$32,240","$34,515"
"10","2","Central New York","39-5094","Skincare Specialists","70","$49,059","$39,366","$33,795","$56,691"
"10","2","Central New York","39-6011","Baggage Porters and Bellhops","50","$38,776","$35,272","$33,318","$41,504"
"10","2","Central New York","39-6012","Concierges","50","$41,304","$34,940","$32,909","$45,502"
"10","2","Central New York","39-7010","Tour and Travel Guides",,"$37,021","$37,127","$32,679","$39,192"
"10","2","Central New York","39-9011","Childcare Workers","1,230","$35,348","$34,225","$32,240","$36,979"
"10","2","Central New York","39-9031","Fitness Trainers and Aerobics Instructors","580","$49,078","$41,558","$32,705","$57,264"
"10","2","Central New York","39-9032","Recreation Workers","640","$39,399","$35,139","$32,252","$42,974"
"10","2","Central New York","39-9041","Residential Advisors","220","$43,993","$39,534","$35,580","$48,201"
"10","2","Central New York","39-9099","Personal Care and Service Workers, All Other",,"$46,630","$48,109","$40,380","$49,755"
"10","2","Central New York","41-0000","Sales and Related Occupations","27,500","$52,780","$37,009","$32,492","$62,924"
"10","2","Central New York","41-1011","First-Line Supervisors of Retail Sales Workers","2,330","$57,682","$50,959","$38,251","$67,397"
"10","2","Central New York","41-1012","First-Line Supervisors of Non-Retail Sales Workers","530","$108,246","$98,990","$67,090","$128,824"
"10","2","Central New York","41-2011","Cashiers","7,310","$34,066","$32,795","$32,240","$35,131"
"10","2","Central New York","41-2021","Counter and Rental Clerks","1,000","$47,321","$41,904","$34,430","$53,766"
"10","2","Central New York","41-2022","Parts Salespersons","470","$46,320","$44,286","$34,749","$52,105"
"10","2","Central New York","41-2031","Retail Salespersons","9,060","$39,982","$35,158","$32,240","$43,924"
"10","2","Central New York","41-3011","Advertising Sales Agents","160","$69,076","$59,889","$38,672","$84,278"
"10","2","Central New York","41-3021","Insurance Sales Agents","890","$91,407","$62,073","$40,933","$116,644"
"10","2","Central New York","41-3031","Securities, Commodities, and Financial Services Sales Agents","410","$108,334","$92,746","$55,965","$134,519"
"10","2","Central New York","41-3041","Travel Agents","90","$49,087","$47,247","$35,768","$55,746"
"10","2","Central New York","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","1,890","$76,773","$63,996","$41,594","$94,364"
"10","2","Central New York","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","250","$125,147","$97,397","$64,738","$155,352"
"10","2","Central New York","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","2,610","$85,593","$76,348","$48,718","$104,032"
"10","2","Central New York","41-9011","Demonstrators and Product Promoters","50","$41,789","$38,283","$37,230","$44,069"
"10","2","Central New York","41-9022","Real Estate Sales Agents","190","$92,411","$78,861","$40,859","$118,187"
"10","2","Central New York","41-9031","Sales Engineers","90","$110,192","$100,591","$69,401","$130,588"
"10","2","Central New York","41-9041","Telemarketers","80","$37,009","$36,382","$32,240","$39,517"
"10","2","Central New York","41-9099","Sales and Related Workers, All Other","70","$61,947","$48,382","$38,333","$73,755"
"10","2","Central New York","43-0000","Office and Administrative Support Occupations","44,800","$52,061","$48,057","$36,724","$59,728"
"10","2","Central New York","43-1011","First-Line Supervisors of Office and Administrative Support Workers","2,850","$75,712","$72,221","$53,287","$86,925"
"10","2","Central New York","43-2011","Switchboard Operators, Including Answering Service","70","$40,217","$39,106","$33,654","$43,499"
"10","2","Central New York","43-2021","Telephone Operators",,"$53,969","$43,392","$39,912","$60,996"
"10","2","Central New York","43-3011","Bill and Account Collectors","210","$51,466","$48,684","$37,785","$58,307"
"10","2","Central New York","43-3021","Billing and Posting Clerks","1,390","$49,721","$47,816","$39,977","$54,594"
"10","2","Central New York","43-3031","Bookkeeping, Accounting, and Auditing Clerks","3,630","$53,928","$50,809","$40,472","$60,656"
"10","2","Central New York","43-3051","Payroll and Timekeeping Clerks","370","$57,099","$55,969","$43,453","$63,922"
"10","2","Central New York","43-3061","Procurement Clerks","120","$49,947","$48,783","$40,283","$54,780"
"10","2","Central New York","43-3071","Tellers","840","$40,637","$39,050","$37,318","$42,297"
"10","2","Central New York","43-3099","Financial Clerks, All Other","70","$54,342","$49,269","$43,924","$59,550"
"10","2","Central New York","43-4011","Brokerage Clerks","60","$61,788","$60,183","$47,227","$69,068"
"10","2","Central New York","43-4021","Correspondence Clerks",,"$52,575","$56,307","$43,324","$57,201"
"10","2","Central New York","43-4031","Court, Municipal, and License Clerks","550","$52,292","$46,546","$38,339","$59,270"
"10","2","Central New York","43-4041","Credit Authorizers, Checkers, and Clerks",,"$54,957","$46,872","$44,835","$60,018"
"10","2","Central New York","43-4051","Customer Service Representatives","5,700","$49,146","$45,834","$36,272","$55,583"
"10","2","Central New York","43-4061","Eligibility Interviewers, Government Programs","420","$54,372","$50,526","$48,354","$57,382"
"10","2","Central New York","43-4071","File Clerks","140","$43,916","$39,665","$33,410","$49,169"
"10","2","Central New York","43-4081","Hotel, Motel, and Resort Desk Clerks","440","$39,355","$36,024","$33,689","$42,186"
"10","2","Central New York","43-4111","Interviewers, Except Eligibility and Loan","330","$44,023","$44,184","$37,616","$47,227"
"10","2","Central New York","43-4121","Library Assistants, Clerical","380","$37,174","$34,361","$32,240","$39,807"
"10","2","Central New York","43-4131","Loan Interviewers and Clerks","180","$55,855","$50,004","$44,607","$61,478"
"10","2","Central New York","43-4141","New Accounts Clerks","300","$46,659","$45,301","$39,498","$50,239"
"10","2","Central New York","43-4151","Order Clerks","120","$45,581","$44,067","$35,022","$50,860"
"10","2","Central New York","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","280","$51,996","$50,614","$40,693","$57,648"
"10","2","Central New York","43-4171","Receptionists and Information Clerks","2,870","$40,012","$37,910","$33,594","$43,221"
"10","2","Central New York","43-4199","Information and Record Clerks, All Other","230","$53,560","$56,965","$45,398","$57,642"
"10","2","Central New York","43-5011","Cargo and Freight Agents","110","$62,435","$59,472","$43,728","$71,788"
"10","2","Central New York","43-5021","Couriers and Messengers","260","$39,360","$37,263","$33,180","$42,450"
"10","2","Central New York","43-5031","Police, Fire, and Ambulance Dispatchers","310","$63,169","$64,034","$49,822","$69,842"
"10","2","Central New York","43-5032","Dispatchers, Except Police, Fire, and Ambulance","530","$54,189","$50,101","$42,047","$60,261"
"10","2","Central New York","43-5041","Meter Readers, Utilities",,"$58,532","$57,213","$42,437","$66,580"
"10","2","Central New York","43-5051","Postal Service Clerks","280","$60,409","$61,322","$47,706","$66,760"
"10","2","Central New York","43-5052","Postal Service Mail Carriers","910","$61,091","$58,070","$44,978","$69,147"
"10","2","Central New York","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",,"$57,874","$56,604","$45,668","$63,977"
"10","2","Central New York","43-5061","Production, Planning, and Expediting Clerks","1,600","$59,866","$55,969","$43,887","$67,856"
"10","2","Central New York","43-5071","Shipping, Receiving, and Traffic Clerks","1,610","$46,728","$44,543","$35,757","$52,214"
"10","2","Central New York","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","120","$49,678","$50,761","$39,765","$54,635"
"10","2","Central New York","43-6011","Executive Secretaries and Executive Administrative Assistants","2,180","$79,208","$78,292","$58,455","$89,584"
"10","2","Central New York","43-6012","Legal Secretaries","310","$51,496","$48,881","$38,569","$57,959"
"10","2","Central New York","43-6013","Medical Secretaries","1,580","$44,880","$42,737","$38,038","$48,301"
"10","2","Central New York","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","5,550","$49,578","$48,657","$38,799","$54,968"
"10","2","Central New York","43-9021","Data Entry Keyers","270","$44,046","$40,979","$34,249","$48,943"
"10","2","Central New York","43-9022","Word Processors and Typists","760","$44,743","$43,836","$36,629","$48,801"
"10","2","Central New York","43-9041","Insurance Claims and Policy Processing Clerks","340","$58,251","$53,417","$44,924","$64,915"
"10","2","Central New York","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","150","$43,640","$41,834","$36,752","$47,085"
"10","2","Central New York","43-9061","Office Clerks, General","5,400","$44,340","$40,371","$32,444","$50,288"
"10","2","Central New York","43-9071","Office Machine Operators, Except Computer","80","$39,584","$36,876","$32,287","$43,231"
"10","2","Central New York","43-9081","Proofreaders and Copy Markers",,"$49,467","$45,833","$38,388","$55,007"
"10","2","Central New York","43-9199","Office and Administrative Support Workers, All Other","260","$54,673","$52,651","$41,893","$61,061"
"10","2","Central New York","45-0000","Farming, Fishing, and Forestry Occupations","260","$46,911","$43,837","$33,776","$53,478"
"10","2","Central New York","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",,"$61,736","$61,399","$51,040","$67,084"
"10","2","Central New York","45-2011","Agricultural Inspectors",,"$77,496","$82,597","$56,524","$87,981"
"10","2","Central New York","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","120","$40,931","$38,487","$32,810","$44,992"
"10","2","Central New York","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals",,"$38,889","$35,611","$32,240","$42,276"
"10","2","Central New York","45-4022","Logging Equipment Operators",,"$48,828","$48,828","$40,458","$53,014"
"10","2","Central New York","47-0000","Construction and Extraction Occupations","12,940","$67,235","$60,762","$44,498","$78,603"
"10","2","Central New York","47-1011","Supervisors of Construction and Extraction Workers","1,350","$86,175","$80,733","$58,371","$100,078"
"10","2","Central New York","47-2021","Brickmasons and Blockmasons","100","$69,033","$67,128","$53,369","$76,865"
"10","2","Central New York","47-2022","Stonemasons",,"$59,075","$56,668","$46,394","$65,416"
"10","2","Central New York","47-2031","Carpenters","1,500","$63,434","$61,053","$45,362","$72,469"
"10","2","Central New York","47-2051","Cement Masons and Concrete Finishers","450","$64,591","$64,338","$47,985","$72,895"
"10","2","Central New York","47-2061","Construction Laborers","2,110","$58,807","$49,690","$40,167","$68,126"
"10","2","Central New York","47-2071","Paving, Surfacing, and Tamping Equipment Operators","120","$74,025","$67,758","$47,259","$87,408"
"10","2","Central New York","47-2073","Operating Engineers and Other Construction Equipment Operators","850","$80,253","$64,187","$49,645","$95,556"
"10","2","Central New York","47-2081","Drywall and Ceiling Tile Installers","170","$57,604","$50,050","$47,833","$62,490"
"10","2","Central New York","47-2082","Tapers",,"$61,786","$57,633","$51,552","$66,904"
"10","2","Central New York","47-2111","Electricians","1,160","$76,415","$73,986","$48,592","$90,326"
"10","2","Central New York","47-2131","Insulation Workers, Floor, Ceiling, and Wall","80","$65,989","$57,218","$45,667","$76,150"
"10","2","Central New York","47-2132","Insulation Workers, Mechanical","120","$73,719","$76,778","$53,359","$83,900"
"10","2","Central New York","47-2141","Painters, Construction and Maintenance","430","$54,064","$48,753","$40,276","$60,958"
"10","2","Central New York","47-2151","Pipelayers","50","$76,235","$76,894","$64,762","$81,971"
"10","2","Central New York","47-2152","Plumbers, Pipefitters, and Steamfitters","970","$71,657","$66,972","$47,577","$83,698"
"10","2","Central New York","47-2181","Roofers","260","$65,554","$61,534","$45,202","$75,730"
"10","2","Central New York","47-2211","Sheet Metal Workers","270","$66,816","$64,008","$44,395","$78,027"
"10","2","Central New York","47-2221","Structural Iron and Steel Workers","50","$81,967","$78,308","$50,112","$97,894"
"10","2","Central New York","47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",,"$50,951","$50,647","$38,181","$57,336"
"10","2","Central New York","47-3012","Helpers--Carpenters","50","$41,728","$40,933","$36,105","$44,539"
"10","2","Central New York","47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","80","$47,091","$43,029","$37,597","$51,837"
"10","2","Central New York","47-3019","Helpers, Construction Trades, All Other",,"$67,150","$49,988","$37,190","$82,130"
"10","2","Central New York","47-4011","Construction and Building Inspectors","390","$74,454","$66,255","$48,604","$87,380"
"10","2","Central New York","47-4021","Elevator Installers and Repairers","120","$116,469","$123,516","$87,956","$130,725"
"10","2","Central New York","47-4031","Fence Erectors","80","$46,989","$41,365","$38,033","$51,467"
"10","2","Central New York","47-4041","Hazardous Materials Removal Workers","150","$67,356","$62,169","$45,087","$78,491"
"10","2","Central New York","47-4051","Highway Maintenance Workers","1,100","$52,719","$51,619","$44,005","$57,077"
"10","2","Central New York","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners","120","$55,053","$48,168","$43,527","$60,817"
"10","2","Central New York","47-4090","Miscellaneous Construction and Related Workers",,"$51,227","$48,616","$37,686","$57,996"
"10","2","Central New York","47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining","90","$55,504","$50,641","$45,528","$60,491"
"10","2","Central New York","47-5023","Earth Drillers, Except Oil and Gas",,"$73,074","$64,763","$52,685","$83,269"
"10","2","Central New York","47-5081","Helpers--Extraction Workers",,"$48,734","$48,401","$42,095","$52,053"
"10","2","Central New York","49-0000","Installation, Maintenance, and Repair Occupations","14,580","$64,556","$60,321","$41,721","$75,974"
"10","2","Central New York","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","1,320","$87,018","$78,660","$55,687","$102,682"
"10","2","Central New York","49-2011","Computer, Automated Teller, and Office Machine Repairers","210","$52,940","$49,377","$39,242","$59,788"
"10","2","Central New York","49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers",,"$65,524","$58,031","$47,263","$74,655"
"10","2","Central New York","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","340","$82,535","$87,996","$48,321","$99,642"
"10","2","Central New York","49-2092","Electric Motor, Power Tool, and Related Repairers",,"$61,792","$66,252","$51,327","$67,026"
"10","2","Central New York","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","210","$82,375","$86,831","$64,240","$91,443"
"10","2","Central New York","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles",,"$47,730","$47,421","$41,679","$50,756"
"10","2","Central New York","49-2098","Security and Fire Alarm Systems Installers","230","$61,887","$61,415","$45,957","$69,853"
"10","2","Central New York","49-3011","Aircraft Mechanics and Service Technicians","60","$86,977","$80,637","$60,122","$100,404"
"10","2","Central New York","49-3021","Automotive Body and Related Repairers","380","$54,104","$50,171","$39,572","$61,370"
"10","2","Central New York","49-3023","Automotive Service Technicians and Mechanics","1,940","$54,042","$49,745","$36,785","$62,670"
"10","2","Central New York","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","870","$63,530","$63,621","$47,794","$71,398"
"10","2","Central New York","49-3041","Farm Equipment Mechanics and Service Technicians","60","$54,176","$56,500","$42,062","$60,232"
"10","2","Central New York","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","280","$67,223","$64,168","$51,735","$74,967"
"10","2","Central New York","49-3051","Motorboat Mechanics and Service Technicians","70","$57,912","$58,760","$46,005","$63,867"
"10","2","Central New York","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics","160","$50,236","$49,101","$37,648","$56,529"
"10","2","Central New York","49-3091","Bicycle Repairers",,"$42,213","$41,580","$38,206","$44,217"
"10","2","Central New York","49-3093","Tire Repairers and Changers","130","$42,289","$41,551","$35,512","$45,677"
"10","2","Central New York","49-9011","Mechanical Door Repairers","50","$64,550","$61,441","$45,364","$74,142"
"10","2","Central New York","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","180","$80,743","$84,662","$49,470","$96,379"
"10","2","Central New York","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","800","$65,822","$62,779","$47,676","$74,894"
"10","2","Central New York","49-9031","Home Appliance Repairers","60","$45,304","$39,476","$32,651","$51,632"
"10","2","Central New York","49-9041","Industrial Machinery Mechanics","940","$75,849","$71,705","$54,145","$86,701"
"10","2","Central New York","49-9043","Maintenance Workers, Machinery","200","$66,912","$63,681","$45,388","$77,674"
"10","2","Central New York","49-9044","Millwrights",,"$74,047","$80,293","$56,640","$82,751"
"10","2","Central New York","49-9051","Electrical Power-Line Installers and Repairers","340","$111,881","$120,982","$77,459","$129,093"
"10","2","Central New York","49-9062","Medical Equipment Repairers","90","$69,680","$70,076","$47,090","$80,976"
"10","2","Central New York","49-9069","Precision Instrument and Equipment Repairers, All Other",,"$80,677","$62,345","$51,545","$95,243"
"10","2","Central New York","49-9071","Maintenance and Repair Workers, General","4,260","$54,391","$50,464","$39,143","$62,014"
"10","2","Central New York","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","50","$51,309","$51,298","$39,161","$57,384"
