"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","13-2041","Credit Analysts","7,900","$149,902","$135,145","$83,541","$183,082"
"1","36","New York State","13-2051","Financial Analysts","47,130","$149,991","$128,926","$86,765","$181,604"
"1","36","New York State","13-2052","Personal Financial Advisors","28,820","$230,121","$171,085","$83,656","$303,354"
"1","36","New York State","13-2053","Insurance Underwriters","7,530","$100,008","$85,530","$57,773","$121,125"
"1","36","New York State","13-2054","Financial Risk Specialists","10,980","$158,143","$140,898","$93,917","$190,255"
"1","36","New York State","13-2061","Financial Examiners","10,580","$140,627","$129,552","$80,607","$170,636"
"1","36","New York State","13-2071","Credit Counselors","1,760","$69,247","$63,244","$50,572","$78,584"
"1","36","New York State","13-2072","Loan Officers","11,850","$124,439","$100,769","$57,801","$157,758"
"1","36","New York State","13-2081","Tax Examiners and Collectors, and Revenue Agents","3,430","$79,846","$72,349","$51,409","$94,064"
"1","36","New York State","13-2082","Tax Preparers","6,880","$75,935","$74,584","$44,779","$91,513"
"1","36","New York State","13-2099","Financial Specialists, All Other","6,760","$167,029","$124,776","$74,155","$213,466"
"1","36","New York State","15-0000","Computer and Mathematical Occupations","299,980","$131,038","$122,710","$68,460","$162,328"
"1","36","New York State","15-1211","Computer Systems Analysts","20,950","$118,382","$108,477","$74,647","$140,251"
"1","36","New York State","15-1212","Information Security Analysts","8,860","$143,333","$134,662","$88,589","$170,706"
"1","36","New York State","15-1221","Computer and Information Research Scientists","1,320","$207,271","$202,751","$117,734","$252,040"
"1","36","New York State","15-1231","Computer Network Support Specialists","6,450","$87,059","$80,544","$56,973","$102,102"
"1","36","New York State","15-1232","Computer User Support Specialists","41,260","$72,335","$65,650","$46,001","$85,502"
"1","36","New York State","15-1241","Computer Network Architects","9,180","$148,851","$139,931","$95,960","$175,297"
"1","36","New York State","15-1242","Database Administrators","3,680","$116,140","$109,844","$69,649","$139,386"
"1","36","New York State","15-1243","Database Architects","4,180","$141,589","$131,755","$90,163","$167,303"
"1","36","New York State","15-1244","Network and Computer Systems Administrators","19,770","$114,470","$106,874","$74,682","$134,364"
"1","36","New York State","15-1251","Computer Programmers","7,090","$111,873","$103,135","$68,799","$133,410"
"1","36","New York State","15-1252","Software Developers","104,130","$164,333","$165,642","$100,821","$196,089"
"1","36","New York State","15-1253","Software Quality Assurance Analysts and Testers","11,140","$123,630","$111,755","$73,804","$148,544"
